Date and time	Description
06/13/2018 10:01:33 UTC	93??74A needs a treat!
06/13/2018 10:05:05 UTC	93??74A has fought hard and returned!
06/13/2018 10:20:39 UTC	98 needs a treat!
06/13/2018 10:21:14 UTC	98 has fought hard and returned!
06/13/2018 13:06:16 UTC	Chansey86 needs a treat!
06/13/2018 14:12:30 UTC	87??96A needs a treat!
06/13/2018 16:51:32 UTC	Chansey86 has fought hard and returned!
06/13/2018 17:55:06 UTC	87??96A needs a treat!
06/13/2018 18:29:21 UTC	87??96A has fought hard and returned!
06/14/2018 00:46:28 UTC	Blissey needs a treat!
06/14/2018 03:27:46 UTC	Blissey has fought hard and returned!
06/14/2018 10:48:43 UTC	89??74B needs a treat!
06/14/2018 10:51:15 UTC	89??74B has fought hard and returned!
06/14/2018 12:38:59 UTC	Chansey86 needs a treat!
06/14/2018 13:04:33 UTC	89??96A needs a treat!
06/14/2018 13:05:04 UTC	89??96A has fought hard and returned!
06/14/2018 13:35:13 UTC	Chansey86 needs a treat!
06/14/2018 13:45:42 UTC	Chansey86 has fought hard and returned!
06/14/2018 15:12:35 UTC	93??74A needs a treat!
06/14/2018 15:39:18 UTC	87??96A needs a treat!
06/14/2018 15:40:45 UTC	87??96A has fought hard and returned!
06/14/2018 15:50:56 UTC	93??74A needs a treat!
06/14/2018 16:59:36 UTC	Chansey80 has fought hard and returned!
06/14/2018 19:21:52 UTC	Chansey82,84 needs a treat!
06/14/2018 19:23:28 UTC	Chansey82,84 has fought hard and returned!
06/14/2018 19:32:37 UTC	98 needs a treat!
06/14/2018 19:33:23 UTC	98 has fought hard and returned!
06/15/2018 00:39:04 UTC	93??74A needs a treat!
06/15/2018 05:33:54 UTC	Blissey needs a treat!
06/15/2018 05:39:31 UTC	Blissey has fought hard and returned!
06/15/2018 11:01:25 UTC	98 needs a treat!
06/15/2018 11:05:27 UTC	98 has fought hard and returned!
06/15/2018 15:46:40 UTC	93??74A has fought hard and returned!
06/15/2018 17:52:28 UTC	89??74B needs a treat!
06/15/2018 17:52:57 UTC	89??74B has fought hard and returned!
06/15/2018 18:55:34 UTC	Slaking needs a treat!
06/15/2018 18:58:09 UTC	Slaking has fought hard and returned!
06/15/2018 22:31:57 UTC	Blissey needs a treat!
06/15/2018 22:35:43 UTC	Chansey86 needs a treat!
06/15/2018 22:36:54 UTC	Chansey86 has fought hard and returned!
06/16/2018 01:13:34 UTC	Blissey needs a treat!
06/16/2018 02:21:10 UTC	89??96A needs a treat!
06/16/2018 05:02:56 UTC	Blissey needs a treat!
06/16/2018 06:27:59 UTC	Blissey needs a treat!
06/16/2018 07:34:43 UTC	89??96A has fought hard and returned!
06/16/2018 09:28:32 UTC	87??96A needs a treat!
06/16/2018 09:31:25 UTC	87??96A has fought hard and returned!
06/16/2018 11:45:22 UTC	89??96A needs a treat!
06/16/2018 12:03:39 UTC	Blissey has fought hard and returned!
06/16/2018 12:20:47 UTC	Chansey80 has fought hard and returned!
06/16/2018 13:18:28 UTC	mocos needs a treat!
06/16/2018 13:22:10 UTC	mocos has fought hard and returned!
06/16/2018 14:42:25 UTC	89??96A has fought hard and returned!
06/16/2018 14:50:35 UTC	Blissey has fought hard and returned!
06/17/2018 06:25:39 UTC	98 needs a treat!
06/17/2018 11:03:22 UTC	93??74A has fought hard and returned!
06/17/2018 11:26:50 UTC	Blissey needs a treat!
06/17/2018 11:28:09 UTC	Blissey has fought hard and returned!
06/17/2018 13:59:57 UTC	Chansey86 needs a treat!
06/17/2018 14:36:15 UTC	Chansey82,84 has fought hard and returned!
06/17/2018 16:03:04 UTC	98 needs a treat!
06/17/2018 16:04:55 UTC	98 has fought hard and returned!
06/17/2018 19:11:32 UTC	98 has fought hard and returned!
06/17/2018 19:47:23 UTC	87??96A needs a treat!
06/17/2018 20:33:32 UTC	Chansey80 needs a treat!
06/17/2018 20:48:09 UTC	89??96A needs a treat!
06/17/2018 23:16:54 UTC	93??74A needs a treat!
06/17/2018 23:21:08 UTC	Walrein needs a treat!
